idx,filename,temperature [C],flecha [mm],global time
2,3.11172462406015_mm_100.90_grados_no_measure_2,100.9,3.11172462406015,"2022,03,07,11:43:14"
2,3.11172462406015_mm_100.90_grados_no_measure_2,100.9,3.11172462406015,"2022,03,07,11:43:28"
2,3.11172462406015_mm_101.00_grados_no_measure_2,101.0,3.11172462406015,"2022,03,07,11:43:42"
3,3.11172462406015_mm_104.90_grados_1_3,104.9,3.11172462406015,"2022,03,07,11:45:07"
3,3.11172462406015_mm_104.90_grados_1_3,104.9,3.11172462406015,"2022,03,07,11:45:21"
3,3.11172462406015_mm_104.90_grados_2_3,104.9,3.11172462406015,"2022,03,07,11:45:35"
3,3.11172462406015_mm_104.90_grados_2_3,104.9,3.11172462406015,"2022,03,07,11:45:49"
3,3.11172462406015_mm_105.00_grados_2_3,105.0,3.11172462406015,"2022,03,07,11:46:03"
3,3.11172462406015_mm_104.90_grados_1_3,104.9,3.11172462406015,"2022,03,07,11:46:17"
3,3.11172462406015_mm_104.90_grados_1_3,104.9,3.11172462406015,"2022,03,07,11:46:31"
3,3.11172462406015_mm_104.90_grados_1_3,104.9,3.11172462406015,"2022,03,07,11:46:45"
3,3.11172462406015_mm_105.00_grados_2_3,105.0,3.11172462406015,"2022,03,07,11:46:59"
3,3.11172462406015_mm_105.10_grados_2_3,105.1,3.11172462406015,"2022,03,07,11:47:13"
3,3.11172462406015_mm_105.10_grados_2_3,105.1,3.11172462406015,"2022,03,07,11:47:27"
3,3.11172462406015_mm_105.20_grados_1_3,105.2,3.11172462406015,"2022,03,07,11:47:41"
3,3.11172462406015_mm_105.30_grados_1_3,105.3,3.11172462406015,"2022,03,07,11:47:55"
3,3.11172462406015_mm_105.30_grados_1_3,105.3,3.11172462406015,"2022,03,07,11:48:09"
3,3.11172462406015_mm_105.30_grados_2_3,105.3,3.11172462406015,"2022,03,07,11:48:23"
3,3.11172462406015_mm_105.40_grados_2_3,105.4,3.11172462406015,"2022,03,07,11:48:37"
3,3.11172462406015_mm_105.40_grados_2_3,105.4,3.11172462406015,"2022,03,07,11:48:52"
3,3.11172462406015_mm_105.40_grados_1_3,105.4,3.11172462406015,"2022,03,07,11:49:06"
3,3.11172462406015_mm_105.40_grados_1_3,105.4,3.11172462406015,"2022,03,07,11:49:20"
3,3.11172462406015_mm_105.40_grados_1_3,105.4,3.11172462406015,"2022,03,07,11:49:34"
3,3.11172462406015_mm_105.30_grados_2_3,105.3,3.11172462406015,"2022,03,07,11:49:48"
3,3.11172462406015_mm_105.30_grados_2_3,105.3,3.11172462406015,"2022,03,07,11:50:02"
3,3.11172462406015_mm_105.30_grados_2_3,105.3,3.11172462406015,"2022,03,07,11:50:16"
3,3.11172462406015_mm_105.30_grados_1_3,105.3,3.11172462406015,"2022,03,07,11:50:30"
3,3.11172462406015_mm_105.40_grados_1_3,105.4,3.11172462406015,"2022,03,07,11:50:44"
3,3.11172462406015_mm_105.40_grados_1_3,105.4,3.11172462406015,"2022,03,07,11:50:58"
3,3.11172462406015_mm_105.50_grados_2_3,105.5,3.11172462406015,"2022,03,07,11:51:12"
3,3.11172462406015_mm_105.60_grados_2_3,105.6,3.11172462406015,"2022,03,07,11:51:26"
3,3.11172462406015_mm_105.70_grados_2_3,105.7,3.11172462406015,"2022,03,07,11:51:40"
3,3.11172462406015_mm_105.90_grados_1_3,105.9,3.11172462406015,"2022,03,07,11:51:54"
3,3.11172462406015_mm_105.90_grados_1_3,105.9,3.11172462406015,"2022,03,07,11:52:08"
3,3.11172462406015_mm_106.00_grados_1_3,106.0,3.11172462406015,"2022,03,07,11:52:22"
3,3.11172462406015_mm_106.00_grados_2_3,106.0,3.11172462406015,"2022,03,07,11:52:36"
3,3.11172462406015_mm_106.10_grados_2_3,106.1,3.11172462406015,"2022,03,07,11:52:50"
3,3.11172462406015_mm_106.20_grados_2_3,106.2,3.11172462406015,"2022,03,07,11:53:04"
3,3.11172462406015_mm_106.30_grados_no_measure_3,106.3,3.11172462406015,"2022,03,07,11:53:18"
3,3.11172462406015_mm_106.30_grados_no_measure_3,106.3,3.11172462406015,"2022,03,07,11:53:32"
3,3.11172462406015_mm_106.40_grados_no_measure_3,106.4,3.11172462406015,"2022,03,07,11:53:46"
4,3.11172462406015_mm_109.70_grados_1_4,109.7,3.11172462406015,"2022,03,07,11:55:12"
4,3.11172462406015_mm_109.70_grados_1_4,109.7,3.11172462406015,"2022,03,07,11:55:26"
4,3.11172462406015_mm_109.80_grados_2_4,109.8,3.11172462406015,"2022,03,07,11:55:40"
